6_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	6_miles
p_._f_._changs	traffic_info	heavy_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
2_miles	no_traffic	rest_stop
rest_stop	poi	hotel_keen
hotel_keen	distance	2_miles
hotel_keen	traffic_info	no_traffic
hotel_keen	poi_type	rest_stop
hotel_keen	address	578_arbol_dr
5_miles	moderate_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	5_miles
sigona_farmers_market	traffic_info	moderate_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
4_miles	road_block_nearby	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	4_miles
stanford_express_care	traffic_info	road_block_nearby
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
4_miles	car_collision_nearby	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	4_miles
5677_southwest_4th_street	traffic_info	car_collision_nearby
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
1_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	1_miles
coupa	traffic_info	road_block_nearby
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
3_miles	car_collision_nearby	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	3_miles
5672_barringer_street	traffic_info	car_collision_nearby
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
1_miles	road_block_nearby	grocery_store
grocery_store	poi	hacienda_market
hacienda_market	distance	1_miles
hacienda_market	traffic_info	road_block_nearby
hacienda_market	poi_type	grocery_store
hacienda_market	address	1313_chester_ave
