6_miles	heavy_traffic	parking_garage
parking_garage	poi	dish_parking
dish_parking	distance	6_miles
dish_parking	traffic_info	heavy_traffic
dish_parking	poi_type	parking_garage
dish_parking	address	550_alester_ave
1_miles	car_collision_nearby	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	1_miles
stanford_oval_parking	traffic_info	car_collision_nearby
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
7_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	starbucks
starbucks	distance	7_miles
starbucks	traffic_info	no_traffic
starbucks	poi_type	coffee_or_tea_place
starbucks	address	792_bedoin_street
4_miles	road_block_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	4_miles
topanga_mall	traffic_info	road_block_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
1_miles	moderate_traffic	rest_stop
rest_stop	poi	hotel_keen
hotel_keen	distance	1_miles
hotel_keen	traffic_info	moderate_traffic
hotel_keen	poi_type	rest_stop
hotel_keen	address	578_arbol_dr
2_miles	moderate_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	2_miles
stanford_express_care	traffic_info	moderate_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
2_miles	car_collision_nearby	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	2_miles
p_._f_._changs	traffic_info	car_collision_nearby
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
3_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	3_miles
philz	traffic_info	car_collision_nearby
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
