2_miles	road_block_nearby	certain_address
certain_address	poi	5677_southwest_4th_street
5677_southwest_4th_street	distance	2_miles
5677_southwest_4th_street	traffic_info	road_block_nearby
5677_southwest_4th_street	poi_type	certain_address
5677_southwest_4th_street	address	5677_southwest_4th_street
4_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	pizza_chicago
pizza_chicago	distance	4_miles
pizza_chicago	traffic_info	heavy_traffic
pizza_chicago	poi_type	pizza_restaurant
pizza_chicago	address	915_arbol_dr
1_miles	no_traffic	chinese_restaurant
chinese_restaurant	poi	panda_express
panda_express	distance	1_miles
panda_express	traffic_info	no_traffic
panda_express	poi_type	chinese_restaurant
panda_express	address	842_arrowhead_way
5_miles	moderate_traffic	grocery_store
grocery_store	poi	trader_joes
trader_joes	distance	5_miles
trader_joes	traffic_info	moderate_traffic
trader_joes	poi_type	grocery_store
trader_joes	address	408_university_ave
5_miles	car_collision_nearby	gas_station
gas_station	poi	shell
shell	distance	5_miles
shell	traffic_info	car_collision_nearby
shell	poi_type	gas_station
shell	address	53_university_av
6_miles	car_collision_nearby	shopping_center
shopping_center	poi	midtown_shopping_center
midtown_shopping_center	distance	6_miles
midtown_shopping_center	traffic_info	car_collision_nearby
midtown_shopping_center	poi_type	shopping_center
midtown_shopping_center	address	338_alester_ave
5_miles	no_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	5_miles
toms_house	traffic_info	no_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
1_miles	car_collision_nearby	friends_house
friends_house	poi	jills_house
jills_house	distance	1_miles
jills_house	traffic_info	car_collision_nearby
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
