4_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	4_miles
palo_alto_cafe	traffic_info	road_block_nearby
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
3_miles	moderate_traffic	parking_garage
parking_garage	poi	webster_garage
webster_garage	distance	3_miles
webster_garage	traffic_info	moderate_traffic
webster_garage	poi_type	parking_garage
webster_garage	address	880_ames_ct
1_miles	car_collision_nearby	gas_station
gas_station	poi	chevron
chevron	distance	1_miles
chevron	traffic_info	car_collision_nearby
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
6_miles	moderate_traffic	chinese_restaurant
chinese_restaurant	poi	mandarin_roots
mandarin_roots	distance	6_miles
mandarin_roots	traffic_info	moderate_traffic
mandarin_roots	poi_type	chinese_restaurant
mandarin_roots	address	271_springer_street
3_miles	moderate_traffic	rest_stop
rest_stop	poi	the_clement_hotel
the_clement_hotel	distance	3_miles
the_clement_hotel	traffic_info	moderate_traffic
the_clement_hotel	poi_type	rest_stop
the_clement_hotel	address	657_ames_ave
1_miles	heavy_traffic	parking_garage
parking_garage	poi	dish_parking
dish_parking	distance	1_miles
dish_parking	traffic_info	heavy_traffic
dish_parking	poi_type	parking_garage
dish_parking	address	550_alester_ave
5_miles	heavy_traffic	home
home	poi	home
home	distance	5_miles
home	traffic_info	heavy_traffic
home	poi_type	home
home	address	10_ames_street
1_miles	heavy_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	1_miles
sigona_farmers_market	traffic_info	heavy_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
