6_miles	moderate_traffic	rest_stop
rest_stop	poi	the_westin
the_westin	distance	6_miles
the_westin	traffic_info	moderate_traffic
the_westin	poi_type	rest_stop
the_westin	address	329_el_camino_real
5_miles	road_block_nearby	friends_house
friends_house	poi	jacks_house
jacks_house	distance	5_miles
jacks_house	traffic_info	road_block_nearby
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
3_miles	no_traffic	gas_station
gas_station	poi	shell
shell	distance	3_miles
shell	traffic_info	no_traffic
shell	poi_type	gas_station
shell	address	53_university_av
5_miles	heavy_traffic	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	5_miles
four_seasons	traffic_info	heavy_traffic
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
1_miles	car_collision_nearby	parking_garage
parking_garage	poi	stanford_oval_parking
stanford_oval_parking	distance	1_miles
stanford_oval_parking	traffic_info	car_collision_nearby
stanford_oval_parking	poi_type	parking_garage
stanford_oval_parking	address	610_amarillo_ave
4_miles	road_block_nearby	shopping_center
shopping_center	poi	topanga_mall
topanga_mall	distance	4_miles
topanga_mall	traffic_info	road_block_nearby
topanga_mall	poi_type	shopping_center
topanga_mall	address	171_oak_rd
3_miles	heavy_traffic	parking_garage
parking_garage	poi	civic_center_garage
civic_center_garage	distance	3_miles
civic_center_garage	traffic_info	heavy_traffic
civic_center_garage	poi_type	parking_garage
civic_center_garage	address	270_altaire_walk
5_miles	road_block_nearby	chinese_restaurant
chinese_restaurant	poi	mandarin_roots
mandarin_roots	distance	5_miles
mandarin_roots	traffic_info	road_block_nearby
mandarin_roots	poi_type	chinese_restaurant
mandarin_roots	address	271_springer_street
