3_miles	road_block_nearby	home
home	poi	home
home	distance	3_miles
home	traffic_info	road_block_nearby
home	poi_type	home
home	address	10_ames_street
6_miles	heavy_traffic	chinese_restaurant
chinese_restaurant	poi	p_._f_._changs
p_._f_._changs	distance	6_miles
p_._f_._changs	traffic_info	heavy_traffic
p_._f_._changs	poi_type	chinese_restaurant
p_._f_._changs	address	669_el_camino_real
5_miles	car_collision_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	palo_alto_cafe
palo_alto_cafe	distance	5_miles
palo_alto_cafe	traffic_info	car_collision_nearby
palo_alto_cafe	poi_type	coffee_or_tea_place
palo_alto_cafe	address	436_alger_dr
6_miles	heavy_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	6_miles
stanford_childrens_health	traffic_info	heavy_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
2_miles	heavy_traffic	hospital
hospital	poi	stanford_express_care
stanford_express_care	distance	2_miles
stanford_express_care	traffic_info	heavy_traffic
stanford_express_care	poi_type	hospital
stanford_express_care	address	214_el_camino_real
5_miles	moderate_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	5_miles
jills_house	traffic_info	moderate_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
2_miles	no_traffic	friends_house
friends_house	poi	jacks_house
jacks_house	distance	2_miles
jacks_house	traffic_info	no_traffic
jacks_house	poi_type	friends_house
jacks_house	address	864_almanor_ln
5_miles	car_collision_nearby	gas_station
gas_station	poi	chevron
chevron	distance	5_miles
chevron	traffic_info	car_collision_nearby
chevron	poi_type	gas_station
chevron	address	783_arcadia_pl
