1_miles	no_traffic	friends_house
friends_house	poi	toms_house
toms_house	distance	1_miles
toms_house	traffic_info	no_traffic
toms_house	poi_type	friends_house
toms_house	address	580_van_ness_ave
5_miles	heavy_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	5_miles
5672_barringer_street	traffic_info	heavy_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
2_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	philz
philz	distance	2_miles
philz	traffic_info	moderate_traffic
philz	poi_type	coffee_or_tea_place
philz	address	583_alester_ave
5_miles	heavy_traffic	hospital
hospital	poi	stanford_childrens_health
stanford_childrens_health	distance	5_miles
stanford_childrens_health	traffic_info	heavy_traffic
stanford_childrens_health	poi_type	hospital
stanford_childrens_health	address	899_ames_ct
3_miles	heavy_traffic	parking_garage
parking_garage	poi	webster_garage
webster_garage	distance	3_miles
webster_garage	traffic_info	heavy_traffic
webster_garage	poi_type	parking_garage
webster_garage	address	880_ames_ct
4_miles	moderate_traffic	grocery_store
grocery_store	poi	safeway
safeway	distance	4_miles
safeway	traffic_info	moderate_traffic
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
2_miles	heavy_traffic	pizza_restaurant
pizza_restaurant	poi	round_table
round_table	distance	2_miles
round_table	traffic_info	heavy_traffic
round_table	poi_type	pizza_restaurant
round_table	address	113_anton_ct
