6_miles	car_collision_nearby	grocery_store
grocery_store	poi	safeway
safeway	distance	6_miles
safeway	traffic_info	car_collision_nearby
safeway	poi_type	grocery_store
safeway	address	452_arcadia_pl
2_miles	moderate_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	starbucks
starbucks	distance	2_miles
starbucks	traffic_info	moderate_traffic
starbucks	poi_type	coffee_or_tea_place
starbucks	address	792_bedoin_street
2_miles	road_block_nearby	gas_station
gas_station	poi	valero
valero	distance	2_miles
valero	traffic_info	road_block_nearby
valero	poi_type	gas_station
valero	address	200_alester_ave
2_miles	road_block_nearby	coffee_or_tea_place
coffee_or_tea_place	poi	cafe_venetia
cafe_venetia	distance	2_miles
cafe_venetia	traffic_info	road_block_nearby
cafe_venetia	poi_type	coffee_or_tea_place
cafe_venetia	address	269_alger_dr
3_miles	no_traffic	rest_stop
rest_stop	poi	four_seasons
four_seasons	distance	3_miles
four_seasons	traffic_info	no_traffic
four_seasons	poi_type	rest_stop
four_seasons	address	465_arcadia_pl
4_miles	heavy_traffic	grocery_store
grocery_store	poi	sigona_farmers_market
sigona_farmers_market	distance	4_miles
sigona_farmers_market	traffic_info	heavy_traffic
sigona_farmers_market	poi_type	grocery_store
sigona_farmers_market	address	638_amherst_st
2_miles	moderate_traffic	parking_garage
parking_garage	poi	palo_alto_garage_r
palo_alto_garage_r	distance	2_miles
palo_alto_garage_r	traffic_info	moderate_traffic
palo_alto_garage_r	poi_type	parking_garage
palo_alto_garage_r	address	481_amaranta_ave
1_miles	road_block_nearby	rest_stop
rest_stop	poi	the_westin
the_westin	distance	1_miles
the_westin	traffic_info	road_block_nearby
the_westin	poi_type	rest_stop
the_westin	address	329_el_camino_real
