7_miles	car_collision_nearby	pizza_restaurant
pizza_restaurant	poi	papa_johns
papa_johns	distance	7_miles
papa_johns	traffic_info	car_collision_nearby
papa_johns	poi_type	pizza_restaurant
papa_johns	address	110_arastradero_rd
1_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	teavana
teavana	distance	1_miles
teavana	traffic_info	no_traffic
teavana	poi_type	coffee_or_tea_place
teavana	address	145_amherst_st
4_miles	no_traffic	coffee_or_tea_place
coffee_or_tea_place	poi	coupa
coupa	distance	4_miles
coupa	traffic_info	no_traffic
coupa	poi_type	coffee_or_tea_place
coupa	address	394_van_ness_ave
5_miles	moderate_traffic	grocery_store
grocery_store	poi	hacienda_market
hacienda_market	distance	5_miles
hacienda_market	traffic_info	moderate_traffic
hacienda_market	poi_type	grocery_store
hacienda_market	address	1313_chester_ave
2_miles	road_block_nearby	gas_station
gas_station	poi	76
76	distance	2_miles
76	traffic_info	road_block_nearby
76	poi_type	gas_station
76	address	91_el_camino_real
3_miles	heavy_traffic	certain_address
certain_address	poi	5672_barringer_street
5672_barringer_street	distance	3_miles
5672_barringer_street	traffic_info	heavy_traffic
5672_barringer_street	poi_type	certain_address
5672_barringer_street	address	5672_barringer_street
2_miles	heavy_traffic	friends_house
friends_house	poi	jills_house
jills_house	distance	2_miles
jills_house	traffic_info	heavy_traffic
jills_house	poi_type	friends_house
jills_house	address	347_alta_mesa_ave
1_miles	moderate_traffic	gas_station
gas_station	poi	valero
valero	distance	1_miles
valero	traffic_info	moderate_traffic
valero	poi_type	gas_station
valero	address	200_alester_ave
